date,TSMC,SOX,TWSE,NASDAQ
2024-02-28,,4602.60009765625,,15947.740234375
2024-02-29,690.0,4726.919921875,18966.76953125,16091.919921875
2024-03-01,689.0,4929.580078125,18935.9296875,16274.9404296875
2024-03-04,725.0,4981.97021484375,19305.310546875,16207.509765625
2024-03-05,730.0,4879.830078125,19386.919921875,15939.58984375
2024-03-06,735.0,4997.93017578125,19499.44921875,16031.5400390625
2024-03-07,760.0,5165.830078125,19693.51953125,16273.3798828125
2024-03-08,784.0,4957.77978515625,19785.3203125,16085.1103515625
2024-03-11,766.0,4890.2001953125,19726.080078125,16019.26953125
2024-03-12,770.0,4992.509765625,19914.55078125,16265.6396484375
2024-03-13,779.0,4868.9501953125,19928.509765625,16177.76953125
2024-03-14,784.0,4783.64990234375,19937.919921875,16128.5302734375
2024-03-15,753.0,4757.7099609375,19682.5,15973.169921875
2024-03-18,764.0,4757.60009765625,19879.849609375,16103.4501953125
2024-03-19,762.0,4712.81005859375,19857.19921875,16166.7900390625
2024-03-20,758.0,4788.18017578125,19784.44921875,16369.41015625
2024-03-21,784.0,4897.8798828125,20199.08984375,16401.83984375
2024-03-22,785.0,4908.259765625,20228.4296875,16428.8203125
2024-03-25,780.0,4891.490234375,20192.25,16384.470703125
2024-03-26,782.0,4851.8798828125,20126.490234375,16315.7001953125
2024-03-27,779.0,4899.9501953125,20200.119140625,16399.51953125
2024-03-28,769.0,4905.2099609375,20146.55078125,16379.4599609375
2024-03-29,776.0,,20294.44921875,
2024-04-01,770.0,4962.10009765625,20222.330078125,16396.830078125
2024-04-02,790.0,4886.93994140625,20466.5703125,16240.4501953125
2024-04-03,780.0,4903.5,20337.599609375,16277.4599609375
2024-04-04,,4756.06982421875,,16049.080078125
2024-04-05,,4819.1298828125,,16248.51953125
2024-04-08,783.0,4825.39013671875,20417.69921875,16253.9599609375
2024-04-09,819.0,4870.81005859375,20796.19921875,16306.6396484375
2024-04-10,815.0,4790.35009765625,20763.529296875,16170.3603515625
2024-04-11,820.0,4906.3701171875,20753.220703125,16442.19921875
2024-04-12,818.0,4745.0498046875,20736.5703125,16175.08984375
2024-04-15,806.0,4679.10009765625,20449.76953125,15885.01953125
2024-04-16,788.0,4720.52978515625,19901.9609375,15865.25
2024-04-17,804.0,4567.31005859375,20213.330078125,15683.3701171875
2024-04-18,804.0,4491.7099609375,20301.19921875,15601.5
2024-04-19,750.0,4306.8701171875,19527.119140625,15282.009765625
2024-04-22,742.0,4381.919921875,19411.220703125,15451.3095703125
2024-04-23,754.0,4478.7998046875,19599.279296875,15696.6396484375
2024-04-24,783.0,4526.2001953125,20131.740234375,15712.75
2024-04-25,766.0,4615.0400390625,19857.419921875,15611.759765625
2024-04-26,782.0,4735.2900390625,20120.509765625,15927.900390625
2024-04-29,795.0,4765.7900390625,20495.51953125,15983.080078125
2024-04-30,790.0,4673.2998046875,20396.599609375,15657.8203125
2024-05-01,,4507.68017578125,,15605.48046875
2024-05-02,772.0,4605.35009765625,20222.439453125,15840.9599609375
2024-05-03,780.0,4716.18994140625,20330.3203125,16156.330078125
2024-05-06,786.0,4820.4501953125,20523.310546875,16349.25
2024-05-07,800.0,4784.8798828125,20653.529296875,16332.5595703125
2024-05-08,802.0,4790.3798828125,20700.509765625,16302.759765625
2024-05-09,796.0,4759.77001953125,20560.76953125,16346.259765625
2024-05-10,802.0,4808.02978515625,20708.83984375,16340.8701171875
2024-05-13,819.0,4823.08984375,20857.7109375,16388.240234375
2024-05-14,825.0,4903.93017578125,20985.849609375,16511.1796875
2024-05-15,839.0,5045.080078125,21147.2109375,16742.390625
2024-05-16,841.0,5017.5400390625,21304.259765625,16698.3203125
2024-05-17,835.0,4983.02001953125,21258.470703125,16685.970703125
2024-05-20,835.0,5090.35009765625,21271.630859375,16794.869140625
2024-05-21,841.0,5074.39990234375,21236.75,16832.619140625
2024-05-22,864.0,5126.81005859375,21551.830078125,16801.5390625
2024-05-23,875.0,5125.97998046875,21607.4296875,16736.029296875
2024-05-24,867.0,5220.919921875,21565.33984375,16920.7890625
2024-05-27,869.0,,21803.76953125,
2024-05-28,865.0,5317.8701171875,21858.41015625,17019.880859375
2024-05-29,857.0,5219.31982421875,21662.5,16920.580078125
2024-05-30,838.0,5173.259765625,21364.48046875,16737.080078125
2024-05-31,821.0,5123.35986328125,21174.220703125,16735.01953125
2024-06-03,846.0,5152.509765625,21536.759765625,16828.669921875
2024-06-04,839.0,5116.27001953125,21356.619140625,16857.05078125
2024-06-05,854.0,5347.43994140625,21484.880859375,17187.900390625
2024-06-06,894.0,5301.68017578125,21902.69921875,17173.119140625
2024-06-07,879.0,5287.240234375,21858.380859375,17133.130859375
2024-06-10,,5362.39990234375,,17192.529296875
2024-06-11,883.0,5365.3798828125,21792.119140625,17343.55078125
2024-06-12,909.0,5520.8701171875,22048.9609375,17608.439453125
2024-06-13,919.0,5602.419921875,22312.0390625,17667.560546875
2024-06-14,922.0,5598.31005859375,22504.720703125,17688.880859375
2024-06-17,921.0,5688.10009765625,22496.529296875,17857.01953125
2024-06-18,943.0,5765.1201171875,22757.4296875,17862.23046875
2024-06-19,981.0,,23209.5390625,
2024-06-20,981.0,5610.009765625,23406.099609375,17721.58984375
2024-06-21,970.0,5538.5400390625,23253.390625,17689.359375
2024-06-24,940.0,5371.52001953125,22813.69921875,17496.8203125
2024-06-25,945.0,5467.66015625,22875.970703125,17717.650390625
2024-06-26,960.0,5452.31982421875,22986.689453125,17805.16015625
2024-06-27,960.0,5421.08984375,22905.98046875,17858.6796875
2024-06-28,966.0,5472.259765625,23032.25,17732.599609375
2024-07-01,968.0,5477.14990234375,23058.5703125,17879.30078125
2024-07-02,960.0,5544.990234375,22879.369140625,18028.759765625
2024-07-03,979.0,5651.72021484375,23172.4296875,18188.30078125
2024-07-04,1005.0,,23522.529296875,
2024-07-05,1005.0,5656.31005859375,23556.58984375,18352.759765625
2024-07-08,1035.0,5765.2099609375,23878.150390625,18403.740234375
2024-07-09,1040.0,5765.2001953125,23900.080078125,18429.2890625
2024-07-10,1045.0,5904.5400390625,24007.080078125,18647.44921875
2024-07-11,1080.0,5699.66015625,24390.029296875,18283.41015625
2024-07-12,1040.0,5775.18994140625,23916.9296875,18398.44921875
2024-07-15,1040.0,5777.7099609375,23879.359375,18472.5703125
2024-07-16,1055.0,5804.02978515625,23997.25,18509.33984375
2024-07-17,1030.0,5408.7099609375,23769.8203125,17996.919921875
2024-07-18,1005.0,5436.419921875,23398.470703125,17871.220703125
2024-07-19,970.0,5267.16015625,22869.259765625,17726.939453125
2024-07-22,939.0,5477.830078125,22256.990234375,18007.5703125
2024-07-23,979.0,5397.89990234375,22871.83984375,17997.349609375
2024-07-24,,5105.64990234375,,17342.41015625
2024-07-25,,5005.35986328125,,17181.720703125
2024-07-26,924.0,5103.1298828125,22119.2109375,17357.880859375
2024-07-29,944.0,5087.6201171875,22164.490234375,17370.19921875
2024-07-30,940.0,4890.14990234375,22223.5703125,17147.419921875
2024-07-31,934.0,5233.18017578125,22199.349609375,17599.400390625
2024-08-01,960.0,4859.58984375,22642.099609375,17194.150390625
2024-08-02,903.0,4607.759765625,21638.08984375,16776.16015625
2024-08-05,815.0,4519.4501953125,19830.880859375,16200.080078125
2024-08-06,880.0,4567.56982421875,20501.01953125,16366.849609375
2024-08-07,920.0,4426.27001953125,21295.279296875,16195.8095703125
2024-08-08,896.0,4730.009765625,20870.099609375,16660.01953125
2024-08-09,934.0,4709.4501953125,21469.0,16745.30078125
2024-08-12,940.0,4743.81982421875,21773.259765625,16780.609375
2024-08-13,941.0,4942.31005859375,21796.5703125,17187.609375
2024-08-14,948.0,4933.35009765625,22027.25,17192.599609375
2024-08-15,943.0,5173.3798828125,21895.169921875,17594.5
2024-08-16,969.0,5170.25,22349.330078125,17631.720703125
2024-08-19,973.0,5266.56982421875,22409.630859375,17876.76953125
2024-08-20,973.0,5196.2998046875,22429.099609375,17816.939453125
2024-08-21,958.0,5267.93017578125,22237.890625,17918.990234375
2024-08-22,951.0,5086.89990234375,22148.830078125,17619.349609375
2024-08-23,949.0,5228.64990234375,22158.05078125,17877.7890625
2024-08-26,950.0,5097.35009765625,22240.119140625,17725.76953125
2024-08-27,942.0,5153.6298828125,22185.0,17754.8203125
2024-08-28,964.0,5059.56005859375,22370.66015625,17556.029296875
2024-08-29,943.0,5029.25,22201.849609375,17516.4296875
2024-08-30,944.0,5158.81982421875,22268.08984375,17713.619140625
2024-09-02,948.0,,22235.099609375,
2024-09-03,940.0,4759.0,22092.2109375,17136.30078125
2024-09-04,889.0,4770.85009765625,21092.75,17084.30078125
2024-09-05,902.0,4742.419921875,21187.7109375,17127.66015625
2024-09-06,918.0,4528.22021484375,21435.189453125,16690.830078125
2024-09-09,899.0,4625.77978515625,21144.439453125,16884.599609375
2024-09-10,904.0,4680.669921875,21064.080078125,17025.880859375
2024-09-11,901.0,4910.169921875,21031.0,17395.529296875
2024-09-12,940.0,4898.43994140625,21653.25,17569.6796875
2024-09-13,947.0,4980.490234375,21759.650390625,17683.98046875
2024-09-16,947.0,4910.43994140625,21850.080078125,17592.130859375
2024-09-17,,4912.10009765625,,17628.060546875
2024-09-18,941.0,4859.2900390625,21678.83984375,17573.30078125
2024-09-19,960.0,5066.64990234375,22042.689453125,18013.98046875
2024-09-20,973.0,5000.06005859375,22159.419921875,17948.3203125
2024-09-23,977.0,5025.81005859375,22285.529296875,17974.26953125
2024-09-24,987.0,5091.77978515625,22431.779296875,18074.51953125
2024-09-25,1005.0,5132.52001953125,22761.599609375,18082.2109375
2024-09-26,1015.0,5310.5,22858.810546875,18190.2890625
2024-09-27,1000.0,5217.22998046875,22822.7890625,18119.58984375
2024-09-30,957.0,5173.06005859375,22224.5390625,18189.169921875
2024-10-01,972.0,5024.93994140625,22390.390625,17910.359375
2024-10-02,,5099.2001953125,,17925.119140625
2024-10-03,,5125.2099609375,,17918.48046875
2024-10-04,977.0,5206.83984375,22302.7109375,18137.849609375
2024-10-07,1005.0,5196.7998046875,22702.560546875,17923.900390625
2024-10-08,1010.0,5266.10009765625,22611.390625,18182.919921875
2024-10-09,1020.0,5321.89990234375,22659.080078125,18291.619140625
2024-10-10,,5293.93994140625,,18282.05078125
2024-10-11,1045.0,5335.93994140625,22901.640625,18342.939453125
2024-10-14,1045.0,5432.2099609375,22975.2890625,18502.689453125
2024-10-15,1070.0,5145.2099609375,23292.0390625,18315.58984375
2024-10-16,1045.0,5155.85986328125,23010.98046875,18367.080078125
2024-10-17,1035.0,5204.81005859375,23053.83984375,18373.609375
